Temp,Date
26.11111111,30-06-10
30,01-07-10
31.11111111,02-07-10
33.33333333,03-07-10
29.44444444,04-07-10
29.44444444,05-07-10
31.11111111,06-07-10
30.55555556,07-07-10
29.44444444,08-07-10
30.55555556,09-07-10
30,10-07-10
28.33333333,11-07-10
26.11111111,12-07-10
29.44444444,13-07-10
33.88888889,14-07-10
29.44444444,15-07-10
32.22222222,16-07-10
33.33333333,17-07-10
28.88888889,18-07-10
26.66666667,19-07-10
30,20-07-10
31.11111111,21-07-10
25,22-07-10
30,23-07-10
28.33333333,24-07-10
28.33333333,25-07-10
30,26-07-10
34.44444444,27-07-10
28.33333333,28-07-10
27.77777778,29-07-10
23.33333333,30-07-10
30,31-07-10
30.55555556,01-08-10
30,02-08-10
35,03-08-10
32.22222222,04-08-10
27.77777778,05-08-10
29.44444444,06-08-10
31.66666667,07-08-10
35.55555556,08-08-10
35,09-08-10
32.22222222,10-08-10
33.88888889,11-08-10
33.33333333,12-08-10
31.11111111,13-08-10
30,14-08-10
25,15-08-10
26.11111111,16-08-10
25.55555556,17-08-10
25.55555556,18-08-10
26.66666667,19-08-10
30,20-08-10
29.44444444,21-08-10
31.11111111,22-08-10
31.11111111,23-08-10
25.55555556,24-08-10
22.77777778,25-08-10
26.11111111,26-08-10
31.11111111,27-08-10
31.66666667,28-08-10
34.44444444,29-08-10
33.33333333,30-08-10
30,31-08-10
25,01-09-10
22.77777778,02-09-10
16.11111111,03-09-10
20.55555556,04-09-10
22.77777778,05-09-10
21.66666667,06-09-10
17.22222222,07-09-10
20.55555556,08-09-10
18.33333333,09-09-10
21.66666667,10-09-10
22.77777778,11-09-10
26.11111111,12-09-10
23.33333333,13-09-10
20,14-09-10
18.88888889,15-09-10
13.33333333,16-09-10
17.77777778,17-09-10
15.55555556,18-09-10
17.77777778,19-09-10
26.66666667,20-09-10
25,21-09-10
18.33333333,22-09-10
23.33333333,23-09-10
16.11111111,24-09-10
16.11111111,25-09-10
18.33333333,26-09-10
23.88888889,27-09-10
18.88888889,28-09-10
23.33333333,29-09-10
22.22222222,30-09-10
21.11111111,01-10-10
13.33333333,02-10-10
15,03-10-10
18.33333333,04-10-10
23.33333333,05-10-10
21.66666667,06-10-10
23.33333333,07-10-10
30.55555556,08-10-10
28.33333333,09-10-10
27.22222222,10-10-10
26.66666667,11-10-10
22.22222222,12-10-10
18.88888889,13-10-10
20.55555556,14-10-10
16.11111111,15-10-10
18.88888889,16-10-10
15,17-10-10
13.33333333,18-10-10
15.55555556,19-10-10
20,20-10-10
11.66666667,21-10-10
20,22-10-10
18.33333333,23-10-10
16.11111111,24-10-10
16.11111111,25-10-10
17.22222222,26-10-10
5.555555556,27-10-10
5.555555556,28-10-10
11.66666667,29-10-10
11.11111111,30-10-10
9.444444444,31-10-10
11.11111111,01-11-10
13.33333333,02-11-10
13.33333333,03-11-10
7.777777778,04-11-10
7.222222222,05-11-10
13.88888889,06-11-10
16.11111111,07-11-10
17.22222222,08-11-10
20.55555556,09-11-10
20,10-11-10
11.11111111,11-11-10
6.111111111,12-11-10
2.222222222,13-11-10
1.666666667,14-11-10
3.888888889,15-11-10
1.666666667,16-11-10
2.777777778,17-11-10
-0.555555556,18-11-10
3.888888889,19-11-10
-1.666666667,20-11-10
1.111111111,21-11-10
-0.555555556,22-11-10
-4.444444444,23-11-10
0.555555556,24-11-10
-2.777777778,25-11-10
-3.333333333,26-11-10
-2.222222222,27-11-10
7.222222222,28-11-10
5,29-11-10
2.222222222,30-11-10
-6.666666667,01-12-10
-6.666666667,02-12-10
-6.666666667,03-12-10
-3.888888889,04-12-10
-7.777777778,05-12-10
-6.111111111,06-12-10
-8.333333333,07-12-10
-7.777777778,08-12-10
1.111111111,09-12-10
-2.222222222,10-12-10
-5.555555556,11-12-10
-13.33333333,12-12-10
-14.44444444,13-12-10
-12.22222222,14-12-10
-8.333333333,15-12-10
-6.666666667,16-12-10
-9.444444444,17-12-10
-8.333333333,18-12-10
-9.444444444,19-12-10
-3.333333333,20-12-10
-0.555555556,21-12-10
0,22-12-10
-2.777777778,23-12-10
-3.333333333,24-12-10
-6.666666667,25-12-10
-4.444444444,26-12-10
-6.111111111,27-12-10
1.111111111,28-12-10
2.777777778,29-12-10
5.555555556,30-12-10
-4.444444444,31-12-10
